id,name,country,latitude,longitude,temp,temp_max,temp_min,humidity,cloudiness,wind_speed
101628,Tabuk,SA,28.38,36.58,64.4,64.4,64.4,18.0,0,3.36
4033557,Tautira,PF,-17.73,-149.15,84.11,84.2,84.0,70.0,20,13.87
2176639,Batemans Bay,AU,-35.72,150.18,69.96,73.99,66.0,54.0,100,8.01
3443061,Chui,UY,-33.7,-53.46,57.96,57.96,57.96,74.0,100,13.27
3430443,Necochea,AR,-38.55,-58.74,42.01,42.01,42.01,92.0,0,7.61
2702979,Jönköping,SE,57.78,14.16,45.81,46.4,45.0,93.0,100,8.05
964420,Port Elizabeth,ZA,-33.92,25.57,50.0,50.0,50.0,87.0,7,2.24
5030005,Hibbing,US,47.43,-92.94,29.16,30.2,28.4,92.0,90,4.7
2094342,Kavieng,PG,-2.57,150.8,81.91,81.91,81.91,77.0,98,7.4
3372964,Lagoa,PT,39.05,-27.98,62.98,62.98,62.98,68.0,28,25.61
3412093,Vestmannaeyjar,IS,63.44,-20.27,37.99,37.99,37.99,72.0,100,6.76
986846,Kroonstad,ZA,-27.65,27.23,57.99,57.99,57.99,77.0,0,1.01
1818051,Anjiang,CN,27.32,110.1,60.71,60.71,60.71,73.0,53,3.67
1649150,Bengkulu,ID,-3.8,102.27,84.15,84.15,84.15,64.0,35,1.97
778707,Mehamn,NO,71.04,27.85,35.74,35.74,35.74,83.0,92,2.04
5855927,Hilo,US,19.73,-155.09,76.93,82.4,72.0,58.0,90,8.05
1624725,Tarakan,ID,3.3,117.63,80.91,80.91,80.91,80.0,100,12.17
1283465,Dhankutā,NP,26.98,87.33,67.37,67.37,67.37,76.0,0,4.88
3573061,Saint George,BM,32.38,-64.68,75.79,77.0,73.99,69.0,40,18.34
8079926,Labuhan,ID,-6.88,112.21,85.87,85.87,85.87,64.0,22,4.21
1795166,Shima,CN,24.45,117.81,78.8,78.8,78.8,57.0,75,6.71
2071860,Esperance,AU,-33.87,121.9,60.8,60.8,60.8,93.0,90,13.87
962367,Richards Bay,ZA,-28.78,32.04,66.56,66.56,66.56,78.0,49,7.14
3456248,Nortelândia,BR,-14.45,-56.8,72.81,72.81,72.81,89.0,100,4.45
