base,visibility,dt,timezone,id,name,cod,rain,snow,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,speed,deg,gust,type,id.1,country,sunrise,sunset,0,1,2,3,all
stations,10000,1603247139,25200,1504382,Kargasok,200,,,80.86,59.06,40.93,32.16,40.93,40.93,1003.0,93.0,1003.0,996.0,11.3,189.0,,,,RU,1603243689,1603278831,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,100
stations,10000,1603247139,0,2451478,Ségou,200,,,-6.22,13.43,82.27,77.58,82.27,82.27,1010.0,26.0,1010.0,978.0,5.84,132.0,,,,ML,1603260979,1603303336,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,0
stations,10000,1603247140,10800,150436,Rulenge,200,,,30.63,-2.72,62.85,64.44,62.85,62.85,1013.0,93.0,1013.0,860.0,3.53,296.0,,,,TZ,1603251386,1603295242,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,82
stations,6437,1603247140,-14400,6141439,Sault Ste. Marie,200,,,-84.33,46.52,36.36,28.33,35.6,37.4,1023.0,86.0,,,8.05,130.0,,1.0,3293.0,CA,1603195338,1603233683,"{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}",,,,90
stations,10000,1603247140,32400,2112802,Hasaki,200,,,140.83,35.73,68.38,60.87,66.99,70.0,1026.0,49.0,,,12.75,40.0,,1.0,7955.0,JP,1603226895,1603266843,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}",,,,40
stations,10000,1603247141,10800,1061605,Manakara,200,,,48.02,-22.13,70.09,73.44,70.09,70.09,1020.0,88.0,1020.0,1019.0,4.52,22.0,,,,MG,1603246252,1603292030,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}",,,,26
stations,6000,1603247141,3600,2548885,Fes,200,,,-5.0,34.04,68.0,68.88,68.0,68.0,1015.0,72.0,,,3.36,310.0,,1.0,2390.0,MA,1603261805,1603301924,"{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}",,,,90
stations,10000,1603247141,3600,2464701,Tataouine,200,,,10.45,32.93,59.0,57.04,59.0,59.0,1023.0,58.0,,,1.12,0.0,,1.0,1198.0,TN,1603258024,1603298289,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,0
stations,10000,1603247141,-10800,3380402,Saint-Georges,200,,,-51.8,3.9,74.3,81.48,74.3,74.3,1012.0,91.0,1012.0,1011.0,2.17,103.0,,,,GF,1603185076,1603228333,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",,,,88
stations,10000,1603247142,39600,2155562,Nelson Bay,200,,,152.15,-32.72,74.52,65.62,73.99,75.2,1015.0,50.0,,,18.34,60.0,,1.0,9605.0,AU,1603220635,1603267670,"{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}",,,,20
stations,4000,1603247142,32400,1862505,Hirara,200,{'1h': 0.16},,125.28,24.8,79.54,79.95,78.8,80.6,1012.0,88.0,,,18.34,90.0,,1.0,8143.0,JP,1603229982,1603271219,"{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}","{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}",,,75
stations,10000,1603247032,-3600,3374210,São Filipe,200,,,-24.5,14.9,82.67,88.95,82.67,82.67,1014.0,68.0,1014.0,1008.0,3.33,74.0,,,,CV,1603265437,1603307651,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,55
stations,10000,1603246987,-18000,4004293,Ixtapa,200,,,-105.2,20.7,84.2,95.43,84.2,84.2,1007.0,83.0,,,2.24,280.0,,1.0,7156.0,MX,1603198676,1603240363,"{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}",,,,20
stations,7000,1603247143,28800,1817240,Baiyin,200,,,104.21,36.56,42.8,36.45,42.8,42.8,1028.0,38.0,,,2.24,0.0,,1.0,9639.0,CN,1603235745,1603275568,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}",,,,0
stations,10000,1603247105,28800,2075720,Broome,200,,,122.23,-17.97,86.0,86.56,86.0,86.0,1010.0,62.0,,,13.87,270.0,,1.0,9500.0,AU,1603228673,1603273992,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,100
stations,10000,1603247143,-10800,3404817,Breves,200,,,-50.48,-1.68,74.97,81.41,74.97,74.97,1012.0,94.0,1012.0,1011.0,5.03,30.0,,,,BR,1603184510,1603228266,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,9
stations,10000,1603247078,-36000,5850554,Makakilo City,200,,,-158.09,21.35,82.45,86.41,80.6,84.2,1012.0,70.0,,,8.05,180.0,,1.0,7868.0,US,1603211406,1603253017,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}",,,,1
stations,10000,1603247144,7200,933117,Sebina,200,,,27.25,-20.87,73.06,60.22,73.06,73.06,1013.0,20.0,1013.0,896.0,15.84,107.0,,,,BW,1603251304,1603296947,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,0
stations,10000,1603247144,-25200,5563397,Eureka,200,,,-124.16,40.8,59.02,55.96,57.0,62.01,1016.0,80.0,,,7.0,344.0,14.0,3.0,2007742.0,US,1603204434,1603243704,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,1
