coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
"{'lon': 88.4, 'lat': 69.49}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 8.6, 'feels_like': 1.26, 'temp_min': 8.6, 'temp_max': 8.6, 'pressure': 1008, 'humidity': 84}",10000,"{'speed': 2.24, 'deg': 90}",{'all': 63},1603247074,"{'type': 1, 'id': 8951, 'country': 'RU', 'sunrise': 1603244522, 'sunset': 1603274379}",25200,1490256,Talnakh,200,,
"{'lon': 123.37, 'lat': 66.77}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,"{'temp': 18.03, 'feels_like': 12.38, 'temp_min': 18.03, 'temp_max': 18.03, 'pressure': 1011, 'humidity': 96, 'sea_level': 1011, 'grnd_level': 1005}",321,"{'speed': 0.69, 'deg': 197}",{'all': 100},1603247010,"{'country': 'RU', 'sunrise': 1603235182, 'sunset': 1603266936}",32400,2012530,Zhigansk,200,,{'1h': 0.12}
"{'lon': 57.76, 'lat': -20.34}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,"{'temp': 74.16, 'feels_like': 75.33, 'temp_min': 73.4, 'temp_max': 75, 'pressure': 1019, 'humidity': 83}",10000,"{'speed': 10.29, 'deg': 110}",{'all': 40},1603247007,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1603244013, 'sunset': 1603289594}",14400,1106677,Bambous Virieux,200,,
"{'lon': -5.72, 'lat': -15.94}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 60.78, 'feels_like': 51.42, 'temp_min': 60.78, 'temp_max': 60.78, 'pressure': 1017, 'humidity': 97, 'sea_level': 1017, 'grnd_level': 970}",10000,"{'speed': 22.39, 'deg': 114}",{'all': 73},1603246993,"{'country': 'SH', 'sunrise': 1603259472, 'sunset': 1603304603}",0,3370903,Jamestown,200,,
"{'lon': 26.21, 'lat': -29.12}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 55.4, 'feels_like': 49.44, 'temp_min': 55.4, 'temp_max': 55.4, 'pressure': 1022, 'humidity': 58}",10000,"{'speed': 6.93, 'deg': 180}",{'all': 0},1603247075,"{'type': 1, 'id': 1884, 'country': 'ZA', 'sunrise': 1603251073, 'sunset': 1603297677}",7200,1018725,Bloemfontein,200,,
"{'lon': 169.85, 'lat': -46.28}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 56.82, 'feels_like': 52.52, 'temp_min': 56.82, 'temp_max': 56.82, 'pressure': 1017, 'humidity': 47, 'sea_level': 1017, 'grnd_level': 1015}",10000,"{'speed': 2.66, 'deg': 122}",{'all': 57},1603246990,"{'country': 'NZ', 'sunrise': 1603215273, 'sunset': 1603264537}",46800,2208248,Kaitangata,200,,
"{'lon': 102.5, 'lat': 71.97}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 6.48, 'feels_like': -4.38, 'temp_min': 6.48, 'temp_max': 6.48, 'pressure': 1011, 'humidity': 95, 'sea_level': 1011, 'grnd_level': 1008}",1599,"{'speed': 8.52, 'deg': 224}",{'all': 83},1603246989,"{'country': 'RU', 'sunrise': 1603242245, 'sunset': 1603269890}",25200,2022572,Khatanga,200,,
"{'lon': 18.42, 'lat': -33.93}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 49.28, 'feels_like': 45.93, 'temp_min': 46.4, 'temp_max': 51.01, 'pressure': 1022, 'humidity': 81}",10000,"{'speed': 3.36, 'deg': 180}",{'all': 0},1603246916,"{'type': 1, 'id': 1899, 'country': 'ZA', 'sunrise': 1603252621, 'sunset': 1603299867}",7200,3369157,Cape Town,200,,
"{'lon': 61.16, 'lat': 36.54}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 48.2, 'feels_like': 41.77, 'temp_min': 48.2, 'temp_max': 48.2, 'pressure': 1021, 'humidity': 42}",10000,"{'speed': 3.71, 'deg': 244}",{'all': 0},1603247076,"{'type': 1, 'id': 7484, 'country': 'IR', 'sunrise': 1603246083, 'sunset': 1603285893}",12600,1159716,Sarakhs,200,,
"{'lon': 10.93, 'lat': 9.98}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 71.42, 'feels_like': 74.25, 'temp_min': 71.42, 'temp_max': 71.42, 'pressure': 1010, 'humidity': 77, 'sea_level': 1010, 'grnd_level': 949}",10000,"{'speed': 3.47, 'deg': 203}",{'all': 0},1603247076,"{'country': 'NG', 'sunrise': 1603256699, 'sunset': 1603299384}",3600,2324857,Pindiga,200,,
